sample_id,split,class_index
4383,train,2
3015,train,4
10805,train,2
1321,train,1
6050,train,2
10102,train,3
2007,train,2
9978,train,4
11836,train,4
1447,train,1
1208,train,1
10109,train,4
10726,train,3
226,train,4
13600,train,2
265,train,4
7265,train,2
9105,train,4
10040,train,4
2085,train,2
12432,train,1
7313,train,4
9395,train,4
5031,train,2
4200,train,4
7188,train,2
631,train,1
2408,train,1
7992,train,3
2611,train,3
57,train,3
8246,train,1
7171,train,2
4532,train,4
3705,train,3
1935,train,1
10907,train,1
5665,train,2
300,train,4
5611,train,2
8919,train,2
9820,train,4
152,train,4
870,train,2
11189,train,3
12141,train,1
4853,train,4
13995,train,2
776,train,1
7537,train,1
3868,train,2
12512,train,1
8852,train,1
6840,train,2
3937,train,1
9690,train,4
2638,train,3
8514,train,2
7133,train,3
5650,train,4
4318,train,4
9207,train,3
4045,train,4
5826,train,2
10107,train,3
6296,train,1
9156,train,4
3874,train,1
9525,train,1
14582,train,3
8086,train,1
10324,train,2
11156,train,4
4064,train,2
6346,train,2
5298,train,1
13191,train,4
4621,train,2
10048,train,2
13920,train,2
1080,train,1
5743,train,2
4511,train,3
3689,train,1
10911,train,3
4291,train,4
6516,train,3
7843,train,3
11279,train,3
9382,train,4
14584,train,3
1216,train,3
13328,train,2
11083,train,1
13236,train,2
9635,train,1
9255,train,1
9384,train,4
1824,train,3
10290,train,1
8350,train,3
7262,train,3
1867,train,1
11962,train,4
1511,train,4
5042,train,1
7467,train,3
10839,train,4
3294,train,3
12852,train,1
4177,train,1
11568,train,4
13689,train,2
9554,train,1
407,train,4
4386,train,2
3555,train,3
11659,train,3
9198,train,3
2084,train,3
6874,train,3
9886,train,4
10872,train,2
4088,train,1
12825,train,1
4107,train,3
942,train,1
10629,train,4
7790,train,2
13893,train,2
1367,train,4
6674,train,2
2714,train,3
10303,train,2
2454,train,2
8432,train,4
6290,train,3
5706,train,1
753,train,1
632,train,1
12609,train,4
10352,train,3
2531,train,1
12297,train,2
3753,train,3
12051,train,3
9502,train,3
12649,train,2
13289,train,2
2445,train,4
33,train,3
7414,train,1
5620,train,1
1047,train,1
6161,train,3
13627,train,2
12681,train,4
166,train,4
3539,train,1
6772,train,2
7545,train,2
2025,train,2
12770,train,2
3861,train,3
11785,train,3
6102,train,2
643,train,2
499,train,1
6423,train,1
12457,train,1
13434,train,2
2879,train,4
2759,train,4
1201,train,4
3148,train,4
7980,train,4
7334,train,3
2464,train,1
2305,train,3
13272,train,2
2922,train,4
12324,train,4
6115,train,2
3714,train,1
3115,train,2
1124,train,1
5594,train,1
14030,train,2
11606,train,4
1141,train,1
569,train,1
2934,train,3
7785,train,3
671,train,3
6320,train,4
12615,train,2
7386,train,2
10942,train,2
2368,train,2
5344,train,1
3790,train,4
4342,train,2
9416,train,4
6337,train,2
10552,train,4
6187,train,2
341,train,4
10507,train,4
12361,train,2
13604,train,2
7148,train,2
3197,train,3
1854,train,4
10373,train,2
8294,train,4
3149,train,4
12981,train,1
4512,train,3
6507,train,1
13749,train,2
11004,train,4
5280,train,4
2649,train,1
3623,train,3
11892,train,4
10859,train,3
11841,train,1
3036,train,1
5633,train,3
13530,train,2
4921,train,2
7266,train,2
12301,train,4
5724,train,2
13012,train,1
13002,train,2
3024,train,2
1872,train,3
914,train,1
13318,train,2
7858,train,3
2897,train,4
3867,train,4
8540,train,2
8363,train,3
4071,train,2
2,train,3
12541,train,3
4552,train,3
11977,train,3
3737,train,3
11391,train,4
2764,train,1
8372,train,2
13229,train,1
4268,train,2
10230,train,2
8834,train,4
4280,train,1
13094,train,3
3723,train,1
13443,train,3
9370,train,4
7457,train,2
7547,train,4
8108,train,2
750,train,1
5535,train,2
25,train,3
2963,train,1
4705,train,2
7791,train,2
6648,train,2
