seed,corruption_level,n_samples,both_correct,word_only_correct,char_only_correct,both_wrong,accuracy_delta_word_minus_char,p_raw,p_holm,significant_holm_0.05
123,0,2000,1509,192,102,197,0.045,1.694377569355503e-07,2.0332530832266036e-06,True
123,5,2000,1508,195,102,195,0.0465,7.404368083191406e-08,1.0366115316467969e-06,True
123,10,2000,1496,193,112,199,0.0405,4.09617086424141e-06,2.867319604968987e-05,True
123,15,2000,1467,202,123,208,0.0395,1.3817495608993756e-05,8.290497365396254e-05,True
123,20,2000,1441,206,142,211,0.032,0.0007100479830174864,0.0028401919320699457,True
231,0,2000,1534,185,93,188,0.046,3.6532329514411144e-08,5.479849427161672e-07,True
231,5,2000,1519,189,104,188,0.0425,7.790376155160519e-07,8.569413770676571e-06,True
231,10,2000,1497,198,106,199,0.046,1.4561185923785872e-07,1.8929541700921634e-06,True
231,15,2000,1497,192,108,203,0.042,1.4206579903622928e-06,1.2785921913260635e-05,True
231,20,2000,1470,184,135,211,0.0245,0.007104894321957685,0.01420978864391537,True
321,0,2000,1522,177,98,203,0.0395,2.1948993780205135e-06,1.7559195024164108e-05,True
321,5,2000,1499,188,104,209,0.042,1.0110335009782442e-06,1.0110335009782442e-05,True
321,10,2000,1498,175,112,215,0.0315,0.00023958728061946005,0.0011979364030973003,True
321,15,2000,1481,181,122,216,0.0295,0.0008335873415050338,0.0028401919320699457,True
321,20,2000,1455,186,139,220,0.0235,0.010611116846790308,0.01420978864391537,True
