seed,corruption_level,model_a,model_b,n_samples,both_correct,model_a_only_correct,model_b_only_correct,both_wrong,accuracy_delta_a_minus_b,p_raw,p_holm,significant_holm_0.05
123,0,word,bpe_500,2000,1532,169,108,191,0.0305,0.0002965603835895554,0.3490515714849067,False
123,0,word,bpe_1000,2000,1533,168,93,206,0.0375,4.015245926488684e-06,0.005502866256426255,True
123,0,word,bpe_2000,2000,1562,139,103,196,0.018,0.024255776870814077,1.0,False
123,0,word,bpe_5000,2000,1599,102,86,213,0.008,0.27391998687270525,1.0,False
123,0,word,char,2000,1509,192,102,197,0.045,1.694377569355503e-07,0.00024263486793170804,True
123,0,bpe_500,bpe_1000,2000,1515,125,111,249,0.007,0.39747392109882873,1.0,False
123,0,bpe_500,bpe_2000,2000,1521,119,144,216,-0.0125,0.1387502435545101,1.0,False
123,0,bpe_500,bpe_5000,2000,1535,105,150,210,-0.0225,0.005755672208924564,1.0,False
123,0,bpe_500,char,2000,1495,145,116,244,0.0145,0.08287059617057363,1.0,False
123,0,bpe_1000,bpe_2000,2000,1551,75,114,260,-0.0195,0.005566130513722026,1.0,False
123,0,bpe_1000,bpe_5000,2000,1548,78,137,237,-0.0295,6.931211093773101e-05,0.08677876289403923,False
123,0,bpe_1000,char,2000,1478,148,133,241,0.0075,0.4036648897829976,1.0,False
123,0,bpe_2000,bpe_5000,2000,1578,87,107,228,-0.01,0.17237156543983836,1.0,False
123,0,bpe_2000,char,2000,1492,173,119,216,0.027,0.001875240856226659,1.0,False
123,0,bpe_5000,char,2000,1500,185,111,204,0.037,2.0096987436155986e-05,0.02638734450367281,True
123,5,word,bpe_500,2000,1517,169,119,195,0.025,0.003809189023554528,1.0,False
123,5,word,bpe_1000,2000,1521,165,101,213,0.032,0.00010446722965270358,0.1290170286210889,False
123,5,word,bpe_2000,2000,1550,136,101,213,0.0175,0.026996511573652834,1.0,False
123,5,word,bpe_5000,2000,1586,100,95,219,0.0025,0.7746233321773475,1.0,False
