model,seed,corruption_level,n_samples,accuracy,precision_macro,f1_macro,mcc,log_loss,inference_time_s,inference_time_per_sample_ms
word,123,0,2000,0.8505,0.8512708577394809,0.8505605398326025,0.8008765238107932,0.4481150805950165,0.2393562999786809,0.11967814998934045
word,123,5,2000,0.843,0.8443184169238505,0.8429822860536378,0.7911053243331222,0.4625481963157654,0.17388770001707599,0.08694385000853799
word,123,10,2000,0.8395,0.8405849808818366,0.8393974796142838,0.7864124504206189,0.47808003425598145,0.1448960000416264,0.0724480000208132
word,123,15,2000,0.839,0.8404683615536016,0.8387906714025217,0.7859327045792788,0.49242469668388367,0.13692790002096444,0.06846395001048222
word,123,20,2000,0.8285,0.8303330339681045,0.8282791536730241,0.7720441986112941,0.5062007308006287,0.13397389999590814,0.06698694999795407
word,123,25,2000,0.8165,0.819173531430813,0.8165076597043843,0.7561339990590553,0.5198080539703369,0.15409239998552948,0.07704619999276474
word,123,30,2000,0.811,0.8156854338057312,0.8113882173662271,0.7492179697212575,0.5372242331504822,0.13457880000350997,0.06728940000175498
word,123,35,2000,0.7985,0.8060174864748502,0.7994065095964508,0.7331754289996376,0.5670190453529358,0.1450355999986641,0.07251779999933206
word,123,40,2000,0.786,0.796096339118352,0.7874114039025338,0.7171674869688637,0.5945191383361816,0.12368249997962266,0.06184124998981133
word,123,45,2000,0.7705,0.7840798203084463,0.7721556540365149,0.6975025847513046,0.6255618333816528,0.15447070001391694,0.07723535000695847
word,123,50,2000,0.7535,0.7697494551225961,0.755441398772033,0.675590581741633,0.6564314365386963,0.13297269999748096,0.06648634999874048
word,132,0,2000,0.8485,0.8506372025211311,0.8482992126045175,0.7988506963779426,0.44433000683784485,0.1814916000002995,0.09074580000014976
word,132,5,2000,0.847,0.8506279453167677,0.8468741485659739,0.7973089268297253,0.4589114785194397,0.16019249998498708,0.08009624999249354
word,132,10,2000,0.8415,0.8452525827033288,0.8413688834221758,0.7900253619306032,0.4745248556137085,0.1426289000082761,0.07131445000413805
word,132,15,2000,0.8315,0.8365494488242633,0.83167133868204,0.7769183095882181,0.4860410690307617,0.12908099999185652,0.06454049999592826
word,132,20,2000,0.8185,0.8243889312178649,0.8183781311030284,0.7600309829839549,0.5083513259887695,0.14777830004459247,0.07388915002229623
word,132,25,2000,0.806,0.8126533724427746,0.8058977892131289,0.7435641500838545,0.5249419808387756,0.15424819994950667,0.07712409997475334
word,132,30,2000,0.7965,0.8062064332821427,0.7968466473394068,0.7316680275939064,0.5414234399795532,0.17621409997809678,0.08810704998904839
word,132,35,2000,0.7825,0.7951216858533101,0.783146632663754,0.713864134803402,0.5747880339622498,0.15429279999807477,0.07714639999903738
word,132,40,2000,0.771,0.7904031175990007,0.7723170642444237,0.7007009263037215,0.610187292098999,0.19552569999359548,0.09776284999679774
word,132,45,2000,0.752,0.7754828318823737,0.7531836249054512,0.6767909215919137,0.6487400531768799,0.16060340002877638,0.08030170001438819
word,132,50,2000,0.7375,0.7670135145690944,0.7397094854641242,0.6589868151304618,0.6805063486099243,0.17626420001033694,0.08813210000516847
word,213,0,2000,0.85,0.849227636211048,0.8489748322794919,0.8003936236545786,0.4443040192127228,0.39495280000846833,0.19747640000423416
word,213,5,2000,0.8475,0.8470889014825096,0.8464322141526595,0.7972001720991022,0.4554807245731354,0.1924721000250429,0.09623605001252145
word,213,10,2000,0.8425,0.8420939418505134,0.8412943067942965,0.7906177137459224,0.47306588292121887,0.2112652999931015,0.10563264999655075
word,213,15,2000,0.834,0.8339060807298325,0.8326508980224756,0.7794707156756812,0.4866269528865814,0.20056780002778396,0.10028390001389198
word,213,20,2000,0.8225,0.8227235657348484,0.8211745444031384,0.7642114072165134,0.5001162886619568,0.18191560002742335,0.09095780001371168
word,213,25,2000,0.817,0.8172873983126134,0.8156391896829461,0.7569222408151202,0.5109151005744934,0.1809330999967642,0.0904665499983821
word,213,30,2000,0.812,0.8135118008386342,0.8103567311063968,0.7508010825068527,0.5258936882019043,0.1813281000358984,0.0906640500179492
word,213,35,2000,0.803,0.8057638484583849,0.8015002134489648,0.7390863076596058,0.5466611385345459,0.18580109998583794,0.09290054999291897
word,213,40,2000,0.7955,0.8010944962426529,0.79344709382961,0.7302501793594752,0.5739458799362183,0.1651842999854125,0.08259214999270625
word,213,45,2000,0.775,0.7828092145318831,0.7726868796442669,0.703741891322149,0.5992227792739868,0.14523269998608157,0.07261634999304079
word,213,50,2000,0.761,0.7702547638124257,0.7580911084778004,0.6858397022866674,0.6341639161109924,0.13513799995416775,0.06756899997708388
word,231,0,2000,0.8595,0.8599048995586598,0.8592268605848347,0.8129743001485691,0.4327348470687866,0.2863463999819942,0.1431731999909971
word,231,5,2000,0.856,0.8566396215386793,0.8556386623155485,0.808440180773559,0.44840118288993835,0.15356960002100095,0.07678480001050048
word,231,10,2000,0.846,0.8462757969267414,0.8455482948933625,0.7950438719583478,0.46410366892814636,0.19604960002470762,0.09802480001235381
word,231,15,2000,0.8425,0.8431095103285806,0.8420373067087176,0.7904952686868678,0.47455671429634094,0.13590009999461472,0.06795004999730736
word,231,20,2000,0.8355,0.836779529027138,0.8349126530512027,0.7814633839894589,0.4854287803173065,0.1809905000263825,0.09049525001319125
word,231,25,2000,0.83,0.8315401834723907,0.8296208421377604,0.7740863695926548,0.49877259135246277,0.20711779996054247,0.10355889998027124
word,231,30,2000,0.8205,0.8238926839135208,0.8204111146557551,0.7618731592554433,0.5151832103729248,0.16178990004118532,0.08089495002059266
word,231,35,2000,0.8105,0.8147734329491153,0.8105407158057837,0.7487711062947701,0.5431444048881531,0.14760849997401237,0.07380424998700619
word,231,40,2000,0.797,0.8047214719763086,0.7970905156795121,0.7319402674919018,0.5721064805984497,0.17839830002048984,0.08919915001024492
word,231,45,2000,0.784,0.7959597680373873,0.7849386304394026,0.7156305382943917,0.599427342414856,0.19369370001368225,0.09684685000684112
word,231,50,2000,0.767,0.7798578922196027,0.7677896590945563,0.6933719683787525,0.6325852274894714,0.16470610001124442,0.08235305000562221
word,321,0,2000,0.8495,0.8539976189248819,0.8483056404532758,0.8014844656123634,0.4462509751319885,0.1976901000016369,0.09884505000081845
word,321,5,2000,0.8435,0.849225286219605,0.8419325771621602,0.7940395320546979,0.4644191265106201,0.14863280003191903,0.07431640001595952
word,321,10,2000,0.8365,0.8418875225626022,0.8342487954404683,0.7849456719620929,0.480832576751709,0.15907529997639358,0.07953764998819679
word,321,15,2000,0.8335,0.8407119965381518,0.8309259562324716,0.7817475599853188,0.49450796842575073,0.14143379998859018,0.07071689999429509
word,321,20,2000,0.8255,0.8332694651572163,0.8229240188038744,0.7712273217306899,0.5097048282623291,0.13008800003444776,0.06504400001722388
word,321,25,2000,0.818,0.8268905837035154,0.8148393402918125,0.7617909171455407,0.5266183614730835,0.15169769997010008,0.07584884998505004
word,321,30,2000,0.8105,0.8226916863365604,0.8074158361695202,0.7527757527372845,0.5469391942024231,0.1558153999503702,0.0779076999751851
word,321,35,2000,0.798,0.8135169220323099,0.7940662605865608,0.737546379525147,0.572563111782074,0.15911080001387745,0.07955540000693873
word,321,40,2000,0.781,0.8012539562315251,0.7765828987029627,0.7166591503020161,0.6023784875869751,0.14151580003090203,0.07075790001545101
word,321,45,2000,0.7675,0.7929731294215172,0.7625403555526931,0.7004437254835136,0.6294468641281128,0.17136959999334067,0.08568479999667034
word,321,50,2000,0.75,0.7788472010050218,0.7434009402503144,0.6787892598542858,0.6663080453872681,0.17084019997855648,0.08542009998927824
word,312,0,2000,0.8495,0.8504692875339563,0.8491627145390391,0.799830716079719,0.436785489320755,0.19038659997750074,0.09519329998875037
word,312,5,2000,0.847,0.8479241691480891,0.8465954453044566,0.7965070053212693,0.4541459381580353,0.1232816000119783,0.06164080000598915
word,312,10,2000,0.8355,0.836177466701149,0.834902050483795,0.7812155331875014,0.4705759286880493,0.1355872999993153,0.06779364999965765
word,312,15,2000,0.8275,0.8284545048287687,0.82678893318543,0.7706849294704319,0.4835371673107147,0.12589710002066568,0.06294855001033284
word,312,20,2000,0.8205,0.8223401215392638,0.8199282073859561,0.7615019848208711,0.5016033053398132,0.14768480003112927,0.07384240001556464
word,312,25,2000,0.817,0.819265379002626,0.8166603805321189,0.7568210917473447,0.5095455646514893,0.2255884000333026,0.1127942000166513
word,312,30,2000,0.812,0.815274614368934,0.8116861307691503,0.7503999093232698,0.5254753232002258,0.15083930001128465,0.07541965000564232
word,312,35,2000,0.801,0.804096315272094,0.8005942239461874,0.7357514735683779,0.5471211075782776,0.13997149997157976,0.06998574998578988
word,312,40,2000,0.7935,0.7984259184041936,0.7929245873303118,0.7264150726173866,0.5718132257461548,0.14262469997629523,0.07131234998814762
word,312,45,2000,0.782,0.7881842748184581,0.780966355214544,0.7117089495792938,0.5981701612472534,0.17183639999711886,0.08591819999855943
word,312,50,2000,0.765,0.7723098386358271,0.7639649601309865,0.6893708574296238,0.630390465259552,0.14726070000324398,0.07363035000162199
word,111,0,2000,0.848,0.8478593232042144,0.8471191284777777,0.7978326668956682,0.43998321890830994,0.1919923999812454,0.0959961999906227
word,111,5,2000,0.846,0.8463711445892008,0.845264299714581,0.7952317470533729,0.45254430174827576,0.16823489998932928,0.08411744999466464
word,111,10,2000,0.843,0.8429777863438472,0.8419908400116657,0.7912822599604998,0.46525847911834717,0.13026569999055937,0.06513284999527968
word,111,15,2000,0.841,0.8415713155881421,0.8399598977170109,0.7888128961403597,0.4729650318622589,0.157448599988129,0.0787242999940645
word,111,20,2000,0.8385,0.8396403884971748,0.837475583589026,0.7856448797694416,0.48329833149909973,0.19327950000297278,0.09663975000148639
word,111,25,2000,0.8335,0.8354236016957737,0.832756191277087,0.7790459220561202,0.4915620982646942,0.20857339998474345,0.10428669999237172
word,111,30,2000,0.8255,0.828336442371794,0.8247513172332385,0.7686650461249002,0.5075702667236328,0.17390629998408258,0.08695314999204129
word,111,35,2000,0.8185,0.8222563519879477,0.817861486598532,0.7595635250158296,0.5326739549636841,0.1970191999571398,0.0985095999785699
word,111,40,2000,0.8055,0.8120105645960995,0.8047855387147151,0.7431976002783289,0.5578703284263611,0.1639083999907598,0.0819541999953799
word,111,45,2000,0.796,0.8049863020422032,0.795117588522958,0.7314857889503531,0.5818682312965393,0.20874989998992532,0.10437494999496266
word,111,50,2000,0.7805,0.7910461542165216,0.7797771000655476,0.7112620521163864,0.6146932244300842,0.21019010001327842,0.10509505000663921
word,222,0,2000,0.856,0.8578244534463613,0.8562793096861318,0.8083873103046808,0.43712082505226135,0.17553419998148456,0.08776709999074228
word,222,5,2000,0.8485,0.851556807884166,0.8488112906189542,0.7987335742864846,0.45746350288391113,0.14725520001957193,0.07362760000978597
word,222,10,2000,0.8425,0.8457992945401457,0.842810698837211,0.7908009597962016,0.4776085317134857,0.1889208999928087,0.09446044999640435
word,222,15,2000,0.832,0.8362970379003805,0.832669302689069,0.776916525193683,0.49405452609062195,0.13996370002860203,0.06998185001430102
word,222,20,2000,0.824,0.8300132386869312,0.8246406409774578,0.7667995779754132,0.5119230151176453,0.1594500999781303,0.07972504998906516
word,222,25,2000,0.818,0.8246626774138218,0.818763960990629,0.7589081840269947,0.5290403962135315,0.161121099954471,0.0805605499772355
word,222,30,2000,0.811,0.8208030196464075,0.8119366852481528,0.7504764052308863,0.5486404299736023,0.18558849999681115,0.09279424999840558
word,222,35,2000,0.7975,0.8107920727197455,0.7986492687202495,0.7336373426457742,0.5829928517341614,0.20321940002031624,0.10160970001015812
word,222,40,2000,0.779,0.7984455714369414,0.780480898151038,0.7107562423966706,0.6227902770042419,0.19326960004400462,0.09663480002200231
word,222,45,2000,0.756,0.7825245995497007,0.7577524304852654,0.6823078614812393,0.6546077728271484,0.19885410001734272,0.09942705000867136
word,222,50,2000,0.7375,0.7717150668733053,0.7408879339062167,0.6596713110732205,0.6948846578598022,0.2621377000468783,0.13106885002343915
word,333,0,2000,0.8515,0.8513202539799808,0.8508815993263128,0.8023292900252105,0.42975130677223206,0.3303769000340253,0.16518845001701266
word,333,5,2000,0.846,0.8462905368306379,0.8453944747921652,0.7951287707627395,0.44503533840179443,0.3925878999871202,0.1962939499935601
word,333,10,2000,0.844,0.8437131657362729,0.8432706765990359,0.7923632497532911,0.456047385931015,0.28059089998714626,0.14029544999357313
word,333,15,2000,0.8455,0.8456370972195629,0.8447818105034803,0.794487435152876,0.4679417312145233,0.27513069997075945,0.13756534998537973
word,333,20,2000,0.8395,0.8400655395943193,0.8390205052034043,0.7864646757432624,0.4792087972164154,0.24001599999610335,0.12000799999805167
word,333,25,2000,0.8305,0.8313703604246084,0.8300001044348769,0.774564346623583,0.4914455711841583,0.25055289996089414,0.12527644998044707
word,333,30,2000,0.824,0.8259056499357093,0.8237312584239839,0.7660859995255997,0.5082591772079468,0.23698159999912605,0.11849079999956302
word,333,35,2000,0.811,0.8135157708874491,0.8108628310324058,0.7488756980647272,0.5314646363258362,0.1783162000356242,0.0891581000178121
word,333,40,2000,0.8035,0.8070086813958781,0.8035309005543017,0.7391062845690526,0.5589647889137268,0.15919560001930222,0.07959780000965111
word,333,45,2000,0.7915,0.7966350503693318,0.7917079447506996,0.7235146959274609,0.5914836525917053,0.1635175999836065,0.08175879999180324
word,333,50,2000,0.7725,0.7785055926930115,0.7727339954823634,0.698442268582131,0.622164785861969,0.27912190003553405,0.13956095001776703
bpe_500,123,0,2000,0.82,0.8197295380484424,0.8191245888989611,0.7604574259729373,0.4954996705055237,0.21386419999180362,0.10693209999590181
bpe_500,123,5,2000,0.818,0.8178852499293952,0.8169381017868702,0.7579540992935849,0.5022489428520203,0.17422209994401783,0.08711104997200891
bpe_500,123,10,2000,0.811,0.8108171679109375,0.8100225970963274,0.7485498871081685,0.5144847631454468,0.2173107999842614,0.1086553999921307
bpe_500,123,15,2000,0.8105,0.8103803661956364,0.8094124078585627,0.7479598875064014,0.521628737449646,0.22303919994737953,0.11151959997368976
bpe_500,123,20,2000,0.806,0.8064063824721461,0.80495079248985,0.7420938745490615,0.5270634889602661,0.20413909998023883,0.10206954999011941
bpe_500,123,25,2000,0.7975,0.7977643931545078,0.7964979730797104,0.730693269665451,0.5425734519958496,0.22115519997896627,0.11057759998948313
