model,seed,n_parameters,epochs_trained,restored_epoch,training_time_s,training_time_per_epoch_s,initial_ram_mb,peak_ram_mb,ram_increase_mb
word,123,189124,8,3,10.052338799985591,1.256542349998199,853.828125,863.65625,9.828125
word,132,189124,8,3,10.041790000046603,1.2552237500058254,854.91796875,864.48828125,9.5703125
word,213,189124,8,3,9.990658800001256,1.248832350000157,855.53515625,865.43359375,9.8984375
word,231,189124,8,3,10.816155400010757,1.3520194250013446,856.890625,867.84765625,10.95703125
word,321,189124,7,2,9.059063399967272,1.294151914281039,859.4296875,869.05859375,9.62890625
word,312,189124,8,3,10.346027899999171,1.2932534874998964,859.94921875,870.12109375,10.171875
word,111,189124,7,2,8.714482299983501,1.244926042854786,861.6796875,873.05859375,11.37890625
word,222,189124,8,3,10.075787699955981,1.2594734624944977,864.97265625,874.68359375,9.7109375
word,333,189124,7,2,9.761750400008168,1.3945357714297384,866.43359375,876.03125,9.59765625
char,123,30372,16,11,63.90212909999536,3.99388306874971,867.31640625,877.38671875,10.0703125
char,132,30372,18,13,68.9735279000015,3.8318626611111943,819.19921875,830.9296875,11.73046875
char,213,30372,18,13,64.25482079997892,3.5697122666654955,823.6484375,833.6796875,10.03125
char,231,30372,17,12,63.42146889999276,3.7306746411760447,824.4921875,835.46484375,10.97265625
char,321,30372,17,12,66.20154520001961,3.894208541177624,825.9453125,838.51953125,12.57421875
char,312,30372,18,13,72.1916483999812,4.010647133332289,813.1328125,823.56640625,10.43359375
char,111,30372,19,14,75.50144249998266,3.9737601315780346,814.9375,825.20703125,10.26953125
char,222,30372,18,13,71.66039059998002,3.981132811110001,815.7890625,827.58984375,11.80078125
char,333,30372,18,13,69.84726139996201,3.8804034111090004,819.0078125,828.13671875,9.12890625
